Date,Open,High,Low,Close,Volume,Adj Close
2012-03-01,70.669998,72.989998,68.970001,72.260002,1861700,67.063431
2012-02-01,68.129997,71.190002,68.029999,70.410004,2843800,65.067368
2012-01-03,65.410004,68.599998,64.580002,67.559998,2081600,62.433613
2011-12-01,63.950001,65.25,61.759998,64.300003,2190300,59.420986
2011-11-01,62.400002,65.660004,59.450001,64.040001,1934200,58.846008
2011-10-03,57.380001,66.349998,54.580002,64.279999,2951800,59.06654
2011-09-01,62.810001,63.389999,57.130001,57.720001,3151400,53.038593
2011-08-01,67.660004,67.760002,56.419998,62.779999,4882400,57.383682
2011-07-01,68.43,70.419998,66.220001,66.849998,2636600,61.10384
2011-06-01,69.769997,69.809998,65.18,68.400002,2357900,62.520611
2011-05-02,71.040001,71.110001,67.889999,69.949997,1584900,63.666344
2011-04-01,69.18,70.800003,67.07,70.699997,1567100,64.348969
2011-03-01,68.940002,69.00,64.75,68.709999,2041800,62.537735
2011-02-01,66.720001,69.629997,66.690002,68.709999,2355700,62.277084
2011-01-03,65.360001,67.18,65.040001,66.260002,2076200,60.056469
2010-12-01,61.919998,65.160004,61.919998,64.93,5161400,58.850986
2010-11-01,61.040001,63.099998,60.32,61.029999,1561900,55.021801
2010-10-01,58.849998,61.299999,57.849998,60.720001,1991800,54.742325
2010-09-01,54.25,59.200001,54.25,58.369999,2114000,52.623669
2010-08-02,57.16,57.650002,52.98,53.599998,1840600,48.074093
2010-07-01,52.50,57.380001,51.459999,56.25,1964200,50.450893
2010-06-01,55.43,58.130001,52.419998,52.560001,2379300,47.141315
2010-05-03,61.150002,61.82,29.76,56.09,2890700,50.065388
2010-04-01,60.009998,62.650002,59.630001,60.889999,1512600,54.349819
2010-03-01,56.490002,60.169998,56.470001,59.59,2064600,53.189453
2010-02-01,54.720001,56.720001,52.82,56.23,2206400,49.992073
2010-01-04,56.860001,58.349998,54.279999,54.360001,2467600,48.329525
2009-12-01,55.68,57.25,54.939999,56.369999,1740100,50.116539
2009-11-02,52.470001,56.220001,51.799999,55.150002,2000200,48.721592
2009-10-01,53.400002,55.849998,51.57,52.18,1893000,46.097778
2009-09-01,51.419998,55.07,50.189999,53.59,1665800,47.343426
2009-08-03,50.279999,52.709999,49.470001,51.700001,1745100,45.464161
2009-07-01,46.50,50.32,43.599998,49.849998,1988300,43.837299
2009-06-01,46.959999,48.310001,44.740002,46.27,2351600,40.689106
2009-05-01,43.93,46.740002,43.59,46.330002,3310200,40.540195
2009-04-01,39.110001,44.790001,38.950001,43.93,3882800,38.440121
2009-03-02,36.040001,41.450001,33.259998,39.580002,6124800,34.633736
2009-02-02,40.540001,43.650002,36.66,36.810001,7744000,31.987652
2009-01-02,44.880001,46.860001,40.00,41.139999,8255400,35.750393
2008-12-01,43.09,45.689999,40.200001,44.740002,9405200,38.878773
2008-11-03,48.060001,49.889999,36.32,44.299999,20769800,38.204044
2008-10-01,58.290001,58.52,41.400002,48.16,8353500,41.532887
2008-09-02,65.360001,65.699997,55.889999,58.360001,2677900,50.329304
2008-08-01,63.860001,66.010002,62.610001,64.620003,1539200,55.453835
2008-07-01,63.490002,64.849998,60.09,63.689999,2146600,54.655746
2008-06-02,139.970001,141.25,63.830002,64.089996,1206400,54.999008
2008-05-01,137.399994,143.600006,137.169998,140.169998,1222500,59.860126
2008-04-01,132.649994,139.399994,131.350006,137.399994,794400,58.677185
2008-03-03,132.229996,134.850006,124.839996,131.00,1263700,55.944046
2008-02-01,136.759995,138.550003,130.729996,132.800003,1272000,56.44907
2008-01-02,145.199997,145.600006,120.00,136.199997,2126900,57.894299
2007-12-03,146.860001,151.559998,142.350006,145.149994,850400,61.698658
2007-11-01,152.220001,152.229996,139.679993,146.949997,825200,62.130154
2007-10-01,151.50,156.509995,147.809998,153.910004,654700,65.07283
2007-09-04,146.100006,152.789993,142.899994,151.199997,993900,63.927044
2007-08-01,144.070007,148.899994,135.740005,146.220001,1335000,61.559052
2007-07-02,149.50,154.710007,143.809998,144.100006,665600,60.666527
2007-06-01,153.050003,153.619995,147.160004,149.380005,588700,62.889423
2007-05-01,147.300003,152.940002,146.440002,152.639999,415100,64.017914
2007-04-02,141.979996,148.889999,141.050003,147.160004,451800,61.719582
2007-03-01,137.960007,143.679993,136.100006,141.470001,520400,59.333168
2007-02-01,143.199997,145.899994,135.169998,140.50,508200,58.675465
2007-01-03,141.149994,143.100006,138.649994,142.820007,508800,59.644344
2006-12-01,139.449997,142.289993,137.789993,140.210007,300800,58.554356
2006-11-01,136.690002,139.789993,134.419998,139.25,306300,57.859158
2006-10-02,131.50,137.350006,130.419998,136.080002,303100,56.542004
2006-09-01,129.649994,132.119995,127.510002,131.440002,332000,54.614059
2006-08-01,125.650002,129.380005,124.349998,129.059998,280200,53.407063
2006-07-03,127.00,127.32,121.029999,126.160004,445300,52.206997
2006-06-01,126.699997,129.00,121.00,126.309998,654700,52.26907
2006-05-01,131.470001,132.770004,123.720001,126.690002,563100,52.199959
2006-04-03,129.899994,131.830002,127.809998,130.910004,307800,53.938721
2006-03-01,128.149994,130.610001,126.199997,129.669998,282700,53.427803
2006-02-01,127.379997,129.300003,124.809998,127.580002,344400,52.354301
2006-01-03,123.709999,128.399994,122.860001,127.300003,561900,52.239399
2005-12-01,124.639999,126.639999,123.099998,123.330002,428900,50.610252
2005-11-01,118.849998,125.910004,118.50,123.970001,388100,50.601326
2005-10-03,121.599998,121.889999,114.849998,118.50,341300,48.368614
2005-09-01,120.849998,123.089996,119.120003,121.349998,328300,49.531906
2005-08-01,122.349998,123.099998,118.510002,120.970001,236800,49.142864
2005-07-01,117.400002,122.879997,116.50,122.300003,266400,49.683167
2005-06-01,116.699997,119.879997,116.510002,117.169998,229700,47.599152
2005-05-02,112.550003,117.129997,111.610001,116.690002,254400,47.240952
2005-04-01,115.599998,116.050003,110.629997,112.330002,259500,45.475842
2005-03-01,117.699997,120.010002,113.199997,114.860001,230500,46.500088
2005-02-01,115.099998,118.25,115.050003,117.50,234900,47.387157
2005-01-03,118.800003,118.849998,113.080002,115.099998,291700,46.419247
2004-12-01,115.25,118.989998,114.589996,118.050003,454800,47.608971
2004-11-01,109.849998,115.970001,109.459999,114.900002,498600,46.032009
2004-10-01,108.349998,110.50,105.989998,109.699997,395200,43.94875
2004-09-01,106.449997,109.57,106.00,107.760002,449800,43.171535
2004-08-02,105.50,106.919998,101.900002,106.360001,351300,42.457531
2004-07-01,110.300003,110.43,103.620003,106.300003,300600,42.433578
2004-06-01,108.300003,110.779999,107.75,110.220001,315400,43.99839
2004-05-03,107.650002,108.879997,103.650002,108.400002,464300,43.122753
2004-04-01,109.300003,111.660004,106.400002,106.849998,338500,42.506142
2004-03-01,110.889999,112.790001,105.25,109.279999,375400,43.472824
2004-02-02,109.400002,112.089996,108.260002,110.769997,244900,43.922443
2004-01-02,107.389999,111.690002,106.260002,109.239998,362800,43.315769
2003-12-01,103.300003,107.160004,101.68,106.459999,297800,42.213444
2003-11-03,101.790001,102.970001,99.75,102.800003,201400,40.590351
2003-10-01,96.040001,101.650002,95.830002,101.279999,192300,39.990181
2003-09-02,97.239998,100.00,94.839996,95.50,265400,37.707962
2003-08-01,94.449997,97.099998,91.650002,96.860001,207200,38.109303
2003-07-01,92.199997,96.720001,91.339996,94.599998,194100,37.220112
2003-06-02,92.150002,96.150002,91.410004,92.449997,275300,36.374199
2003-05-01,85.949997,91.449997,84.879997,91.269997,334100,35.795692
2003-04-01,79.849998,86.709999,79.50,86.239998,519900,33.822948
2003-03-03,79.800003,84.059998,74.389999,79.400002,835200,31.140331
2003-02-03,80.699997,81.199997,75.760002,79.099998,531800,30.907999
2003-01-02,83.400002,87.449997,78.849998,80.339996,370500,31.392523
2002-12-02,89.080002,89.400002,81.449997,82.629997,536200,32.287331
2002-11-01,82.099998,88.25,81.589996,87.449997,346100,34.011395
2002-10-01,77.550003,84.599998,72.00,82.50,548400,32.086224
2002-09-03,84.300003,86.489998,75.43,76.75,396300,29.849911
2002-08-01,84.599998,90.260002,78.199997,85.709999,388000,33.206474
2002-07-01,93.00,93.00,73.089996,85.059998,513500,32.954647
2002-06-03,100.00,100.360001,89.150002,92.800003,308100,35.953342
2002-05-01,101.379997,103.790001,98.440002,99.949997,136600,38.615204
2002-04-01,106.00,106.470001,99.900002,101.379997,276200,39.167679
2002-03-01,102.879997,108.839996,102.870003,106.110001,231600,40.995094
2002-02-01,104.669998,104.669998,99.449997,102.639999,285200,39.543083
2002-01-02,106.00,108.75,100.43,104.470001,342300,40.248112
2001-12-03,103.669998,107.900002,102.800003,105.389999,205700,40.602551
2001-11-01,97.449997,106.349998,96.129997,104.279999,231700,40.025341
2001-10-01,94.199997,101.150002,93.309998,96.900002,572700,37.192707
2001-09-04,104.339996,106.07,86.800003,94.949997,266200,36.444244
2001-08-01,111.199997,112.400002,103.410004,104.349998,81800,39.909733
2001-07-02,112.599998,113.940002,106.800003,110.839996,232600,42.391899
2001-06-15,110.849998,113.620003,110.059998,113.00,463900,43.218014
